title,description,servings,prepMinutes,cookMinutes,categories,ingredients,steps
"Pasta Carbonara","Une délicieuse recette de pâtes à la carbonara traditionnelle",4,15,20,"Italien, Plat","Pâtes:400:g|Oeufs:4:pcs|Lardons:200:g|Parmesan:100:g|Poivre noir:1:pincée","1. Faire cuire les pâtes dans l'eau bouillante salée|2. Faire revenir les lardons dans une poêle|3. Battre les œufs avec le parmesan râpé|4. Mélanger les pâtes chaudes avec les lardons|5. Ajouter le mélange œufs-parmesan hors du feu|6. Assaisonner avec le poivre noir"
"Tarte aux pommes","Une tarte aux pommes traditionnelle et savoureuse",6,30,45,"Français, Dessert","Pâte brisée:1:pcs|Pommes:6:pcs|Sucre:100:g|Beurre:50:g|Cannelle:1:pincée","1. Étaler la pâte dans un moule à tarte|2. Éplucher et couper les pommes en lamelles|3. Disposer les pommes sur la pâte|4. Saupoudrer de sucre et de cannelle|5. Ajouter des noisettes de beurre|6. Cuire au four à 180°C pendant 45 minutes"
"Bœuf Bourguignon","Un plat mijoté traditionnel de la cuisine française",6,30,180,"Français, Plat","Bœuf:800:g|Carottes:4:pcs|Oignons:2:pcs|Lardons:150:g|Vin rouge:500:ml|Bouillon de bœuf:300:ml|Champignons:250:g|Tomates concentrées:2:cs|Thym:3:brins|Laurier:2:feuilles","1. Couper la viande en cubes de 3cm|2. Faire revenir la viande dans une cocotte|3. Ajouter les lardons et les légumes|4. Déglacer avec le vin rouge|5. Ajouter le bouillon et les aromates|6. Laisser mijoter pendant 2h30"
"Risotto aux champignons","Un risotto crémeux aux champignons frais",4,15,25,"Italien, Plat, Végétarien","Riz arborio:300:g|Champignons:400:g|Oignon:1:pcs|Ail:2:pcs|Vin blanc:100:ml|Bouillon de légumes:1:l|Parmesan:80:g|Beurre:40:g|Huile d'olive:2:cs","1. Faire revenir l'oignon dans l'huile|2. Ajouter les champignons coupés en tranches|3. Verser le riz et le faire nacrer|4. Ajouter le vin blanc et faire réduire|5. Ajouter le bouillon progressivement en remuant|6. Incorporer le parmesan et le beurre"
"Poulet Tikka Masala","Un curry indien doux et crémeux",4,20,35,"Indien, Plat","Poulet:600:g|Crème fraîche:200:ml|Oignon:1:pcs|Ail:4:pcs|Gingembre:30:g|Tomates concassées:400:g|Lait de coco:200:ml|Curry:2:cs|Cumin:1:cc|Coriandre:2:cc|Paprika:1:cs","1. Couper le poulet en morceaux|2. Faire mariner dans le yaourt et épices|3. Faire revenir dans une poêle chaude|4. Préparer la sauce avec l'oignon et les épices|5. Ajouter la crème et le lait de coco|6. Laisser mijoter 20 minutes"
"Couscous royal","Un plat généreux avec viandes et légumes",6,40,45,"Marocain, Plat","Semoule:500:g|Agneau:300:g|Poulet:300:g|Merguez:6:pcs|Carottes:3:pcs|Courgettes:2:pcs|Navets:2:pcs|Tomates:3:pcs|Pois chiches:400:g|Safran:1:pincée|Ras el hanout:2:cs|Gingembre:20:g","1. Préparer le bouillon avec tous les légumes|2. Ajouter les viandes et épices|3. Cuire les merguez séparément|4. Faire gonfler la semoule dans le bouillon|5. Disposer la semoule sur un plat|6. Garnir avec les viandes et légumes"
"Pad Thaï aux crevettes","Un plat thaïlandais emblématique",4,20,10,"Asiatique, Plat","Nouilles de riz:300:g|Crevettes:400:g|Germes de soja:150:g|Ail:3:pcs|Oignon vert:3:pcs|Oeufs:2:pcs|Sauce nuoc mam:50:ml|Sauce de soja:30:ml|Sucre de palme:30:g|Citron vert:1:pcs|Cacahuètes:50:g","1. Réhydrater les nouilles dans l'eau chaude|2. Faire sauter les crevettes dans le wok|3. Ajouter l'ail et les légumes|4. Incorporer les œufs battus|5. Ajouter les nouilles et les sauces|6. Garnir avec cacahuètes et citron"
"Gratin dauphinois","Une spécialité dauphinoise fondante",6,20,90,"Français, Plat, Végétarien","Pommes de terre:1:kg|Crème fraîche:400:ml|Lait:300:ml|Ail:4:pcs|Muscade:1:pincée|Beurre:30:g|Sel:1:cc|Poivre:1:pincée|Gruyère:150:g","1. Éplucher et couper les pommes de terre en rondelles|2. Faire chauffer la crème avec l'ail et la muscade|3. Disposer les pommes de terre dans un plat|4. Verser le mélange crème/lait|5. Parsemer de gruyère râpé|6. Cuire au four à 180°C pendant 1h30"
"Moussaka grecque","Un plat gratiné aux aubergines",6,45,60,"Grec, Plat","Aubergines:3:pcs|Viande hachée:600:g|Tomates:4:pcs|Oignon:1:pcs|Ail:3:pcs|Parmesan:100:g|Lait:500:ml|Beurre:40:g|Farine:40:g|Muscade:1:pincée","1. Couper les aubergines en tranches et faire griller|2. Faire revenir la viande avec oignon et ail|3. Ajouter les tomates et cuire 20 minutes|4. Préparer la béchamel avec le lait et la muscade|5. Disposer en couches dans un plat|6. Cuire au four à 180°C pendant 45 minutes"
"Bouillabaisse","Le plat emblématique de Marseille",8,30,45,"Français, Plat","Poissons blancs:1:kg|Rascasse:400:g|Crevettes:300:g|Moules:500:g|Fenouil:2:pcs|Tomates:4:pcs|Safran:1:pincée|Soupe de poisson:1:l|Pastis:50:ml|Ail:4:pcs","1. Préparer un fumet avec les têtes de poissons|2. Faire revenir les légumes|3. Ajouter la soupe et le safran|4. Faire pocher les morceaux de poisson|5. Ajouter les fruits de mer|6. Servir avec la rouille et croûtons"
